Column
User id
Day in study
Week day
Cycle number
Cycle day
First day of period
"Period (0-no, 1-yes)"
"Migraines (0-no pain, 4-worst pain)"
"Period pain (0-no pain, 4-worst pain)"
"Type of stool (0-no stool, 7-bowel blockage)"
"General emotional condition (1-bad, 10-amazing)"
"General physical condition (1-bad, 10-amazing)"
"Breast tenderness (0-no pain, 4-worst pain)"
"Energy (0-no energy, 4-most energy)"
"Painful bowel movement (0-no pain, 4-worst pain)"
"Desire to eat sweet food (0-no appetite, 4-most appetite)"
"Lower back pain and pelvic pain (0-no pain, 4-worst pain)"
"Lower abdominal stabbing pain / abdominal cramps (0-no pain, 4-worst pain)"
"Ovulation pain (0-no pain, 4-worst pain)"
Paracetamol (times)
Ovulation test values (0.0-4.0)
"Knee pain (0-no pain, 4-worst pain)"
"Pain in ankle (0-no pain, 4-worst pain)"
"Sick day (0-no, 1-yes)"
Naxyn (times)
"Appetite (0-no appetite, 4-most appetite)"
"Headache (0-no pain, 10-worst pain)"
"Allergies (0-no allergies, 4-worst allergies)"
"Endo belly (0-no endo belly , 4-worst endo belly)"
Morning pain (minutes)
"Sinusitis (0-no pain, 10-worst pain)"
"Ovaries pain (0-no pain, 10-worst pain)"
Paracetamol forte (times)
"Lower back pain (0-no pain, 10-worst pain)"
"Lower back pain (0-no pain, 4-worst pain)"
Medical cannabis (times)
"Pain in tailbone (0-no pain, 10-worst pain)"
"Breast tenderness (0-no pain, 10-worst pain)"
"Upper abdominal pain (0-no pain, 10-worst pain)"
"Lower abdominal pain (0-no pain, 10-worst pain)"
"Painful bowel movement (0-no pain, 10-worst pain)"
"Pain before bowel movement (0-no pain, 10-worst pain)"
"Sore feet (0-no pain, 10-worst pain)"
"Muscle pain / flu like (0-no pain, 4-worst pain)"
"Painful intercourse (0-no pain, 4-worst pain)"
"Nasal allergy (0-no allergy, 4-worst allergy)"
"Appetite / no appetite (0-no appetite, 10-most appetite)"
"Acne (0-no acne, 4-worst acne)"
"Fatigue (0-no fatigue, 4-worst fatigue)"
"Pelvic pain (0-no pain, 4-worst pain)"
"Headache (0-no pain, 4-worst pain)"
"Scapula pain (0-no pain, 4-worst pain)"
"Hair loss (0-no hair loss, 4-worst hair loss)"
"Bloating (0-no bloating, 4-worst bloating)"
"Pain in tailbone (0-no pain, 4-worst pain)"
"Abdominal cramps (0-no pain, 4-worst pain)"
Advil (times)
"Going to sleep early (0-no, 1-yes)"
"How much work did i do today (0, 4)"
"Rectal bleeding (0-no bleeding, 4-worst bleeding)"
"Ear pain (0-no pain, 4-worst pain)"
Cbd oil (times)
"Endo flare up (0-no pain, 4-worst pain)"
"Bleeding (0-no bleeding, 4-heaviest bleeding)"
"Nausea (0-no nausea, 4-worst nausea)"
Naproxen sodium (times)
"Rectum pain (0-no pain, 4-worst pain)"
"Pigmentation (0-no pigmentation, 4-worst pigmentation)"
"Vaginal pain (0-no pain, 4-worst pain)"
"Right pelvic pain (0-no pain, 4-worst pain)"
"Muscle weakness (0-no pain, 4-worst pain)"
"Upper back pain (0-no pain, 4-worst pain)"
"Pain after bowel movement (0-no pain, 4-worst pain)"
"Feeling of heaviness (0-no pain, 4-worst pain)"
"Period pain / endo flare up (0-no pain, 4-worst pain)"
"Incomplete urination (0-no pain, 4-worst pain)"
"Sciatic pain - right side / pain radiating down the leg (0-no pain, 4-worst pain)"
"Pain radiating down the leg (0-no pain, 4-worst pain)"
"Pain before bowel movement (0-no pain, 4-worst pain)"
"Frequent need to urinate (0-no problem, 4-worst frequent)"
"Sciatic pain - right side (0-no pain, 4-worst pain)"
"Period pain (0-no pain, 10-worst pain)"
"Uterine cramps (0-no cramps, 4-worst cramps)"
"Ovaries pain (0-no pain, 4-worst pain)"
"No appetite (0-no problem, 4-worst no appetite)"
"Anger (0-no anger, 4-worst anger)"
"Left pelvic pain (0-no pain, 4-worst pain)"
"Rectal stabbing (0-no pain, 4-worst pain)"
"Multiple bowel movement (0, 3 -more than 5)"
"Painful right feet (0-no pain, 4-worst pain)"
Rokacet plus (times)
"Optalgin drops (0, 60)"
Zaldiar (times)
"Gas (0-no pain, 10-worst pain)"
"ER (0-no, 1-yes)"
"Asthma (0-no asthma, 10-worst asthma)"
"Vomiting (0-no, 1-yes)"
"Heartburn (0-no heartburn, 10-worst heartburn)"
General oils (times)
"Nausea (0-no nausea, 10-worst nausea)"
"Fatigue (0-no fatigue, 10-worst fatigue)"
"Allergies (0-no allergies, 10-worst allergies)"
"Endo belly (0-no endo belly, 10-worst endo belly)"
"Rectum pain (0-no pain, 10-worst pain)"
Home massage (times)
"Dizziness (0-no dizziness, 10-worst dizziness)"
Voltaren cream (times)
Esracain cream (times)
"Right pelvic pain (0-no pain, 10-worst pain)"
Voltaren injection (times)
"Left pelvic pain (0-no pain, 10-worst pain)"
"Abdominal dull-aching pain (0-no pain, 10-worst pain)"
"Neurodermatitis (0-no pain, 10-worst pain)"
"Pain radiating down the leg (0-no pain, 10-worst pain)"
"Vulval / groin pain (0-no pain, 10-worst pain)"
"Lower abdominal dull-aching pain (0-no pain, 10-worst pain)"
"Lower abdominal stabbing pain (0-no pain, 10-worst pain)"
"Numbness in the feet (0-no numbness, 4-worst numbness)"
"Pelvic pain (0-no pain, 10-worst pain)"
"Nausea / vomiting (0-no nausea / vomit, 10-worst vomiting)"
"Upper back pain (0-no pain, 10-worst pain)"
"Pain before / during bowel movement (0-no pain, 10-worst pain)"
"Uterine cervix pain (0-no pain, 10-worst pain)"
"Body numbness (0-no numbness, 10-worst numbness)"
"Pelvic pain / pain in tailbone (0-no pain, 10-worst pain)"
"Pain / difficulty / incomplete urination (0-no pain, 10-worst pain)"
"Dizziness (0-no dizziness, 4-worst dizziness)"
"Insomnia (0-no insomnia, 4-worst insomnia)"
"Shoulder pain (0-no pain, 4-worst pain)"
"Urination pain (0-no pain, 4-worst pain)"
"Multiple bowel movement (0, 3-more than 4)"
"Upper abdominal pain (0-no pain, 4-worst pain)"
"I ate something out of my diet (0-no, 1-yes)"
"Numbness in the feet / sore feet (0-no pain, 4-worst pain)"
"Heartburn (0-no heartburn, 4-worst heartburn)"
"Sport (0-no, 3-other)"
"Depression (0-no depression, 4-worst depression)"
"Brain fatigue / brain fog (0-no fatigue, 4-worst fatigue)"
"Stomach flare / abdominal flare (0-no pain, 4-worst pain)"
"Optalgin drops (0, 80)"
"Hormonal mood (0-no hormonal moods, 4-worst hormonal moods)"
"Energy / fatigue (0-most fatigued, 10-most energetic)"
"Burning feet (0-no burning, 4-worst burning)"
Nurofen forte (times)
"Multiple bowel movement (0, 3 -more than 6)"
"Pain before / during bowel movement (0-no pain, 4-worst pain)"
"Pain after intercourse (0-no pain, 4-worst pain)"
"Aura (0-no, 1-yes)"
"Sobada (0-no, 1-yes)"
"Bladder pain (0-no pain, 4-worst pain)"
"High / low libido (0-no libido, 4-high libido)"
"Carpal tunnel syndrome (0-no pain, 4-worst pain)"
"Lower abdominal stabbing pain (0-no pain, 4-worst pain)"
"Painful penetration / intercourse (0-no pain, 4-worst pain)"
"Yoga (0-no, 1-yes)"
"Painful orgasm (0-no pain, 4-worst pain)"
"Fainting (0-no, 1-yes)"
"Appetite (0-no appetite, 10-most appetite)"
"Chest pain (0-no pain, 10-worst pain)"
"Brain fatigue / brain fog (0-no fatigue, 10-worst fatigue)"
"Vaginal dryness (0-no dryness, 10-most pain)"
"Painful intercourse (0-no pain, 10-worst pain)"
"Desire to eat sweet food (0-no appetite, 10-most appetite)"
"Abdominal cramps (0-no pain, 10-worst pain)"
"High / low libido (0-no libido, 10-high libido)"
"Painful penetration during intercourse (0-no pain, 10-worst pain)"
